使用者編號,學校代碼,年級,班級,國語成績,數學成績,英語成績,練習次數,練習平均正確率,練習總秒數,影片瀏覽次數,影片觀看總秒數,影片平均完成率,倒轉次數,快轉次數,筆記次數,暫停次數,單字遊戲次數,數學遊戲次數,測驗作答次數,測驗總秒數,綜合平臺活動數,總活動量,參與度分組
170642,1377,6,1,96.0,84.0,92.0,48,80.2,955,27,4795,59.0,3,7,0,253,0,0,690,12280,126,891,Q4 高
70075,2284,4,2,36.0,,52.0,7,78.6,208,7,2359,71.4,0,0,0,17,0,0,0,0,71,85,Q1 低
52202,1377,6,3,76.0,64.0,96.0,4,25.0,144,14,3329,81.9,11,0,0,115,0,0,217,2936,1,236,Q2 中低
121450,2284,6,3,,76.0,,11,77.3,387,0,0,,0,0,0,0,0,0,0,0,300,311,Q3 中高
238943,1377,6,2,88.0,68.0,92.0,16,53.1,255,36,7340,69.9,32,30,0,280,0,0,62,2002,53,167,Q2 中低
166039,2284,6,2,60.0,76.0,,0,,0,0,0,,0,0,0,0,0,0,5,120,20,25,Q1 低
238999,1377,6,2,64.0,40.0,84.0,48,58.3,1274,43,7085,68.9,30,7,0,275,0,0,145,5727,165,401,Q3 中高
129597,1377,3,1,80.0,76.0,,33,87.9,900,21,3937,83.8,4,4,0,177,0,0,255,3000,0,309,Q3 中高
61047,2284,4,4,88.0,,68.0,0,,0,0,0,,0,0,0,0,0,0,0,0,878,878,Q4 高
239765,1377,6,2,92.0,40.0,100.0,17,79.4,171,44,7323,67.9,32,8,0,428,0,0,45,2420,0,106,Q1 低
170169,1377,6,1,88.0,68.0,96.0,21,81.0,604033,34,7317,69.9,27,34,0,258,0,0,442,13157,0,497,Q4 高
75595,2284,6,4,,72.0,84.0,0,,0,0,0,,0,0,0,0,0,0,5,205,305,310,Q3 中高
73206,1377,6,1,64.0,84.0,96.0,11,77.3,193,14,3162,61.9,1,0,0,1569,0,0,501,9294,0,526,Q4 高
178282,2284,5,4,,,76.0,47,69.1,2303,7,891,33.7,10,0,0,19,0,0,0,0,415,469,Q4 高
179767,1377,6,1,76.0,56.0,72.0,96,65.1,4718,86,17884,84.0,12,1,0,270,0,0,15,540,0,197,Q2 中低
2475,2284,3,2,68.0,68.0,,0,,0,4,1304,54.5,4,0,0,70,0,0,0,0,254,258,Q2 中低
158918,2284,5,2,72.0,,92.0,28,76.8,2124,6,2385,90.0,2,0,0,14,0,0,0,0,370,404,Q3 中高
238446,2284,3,4,80.0,,,108,86.1,6398,92,19013,80.1,7,0,24,81,0,0,0,0,630,830,Q4 高
