類型,名稱,科目,嘗試次數,錯誤次數,正確率
能力指標,能在具體情境中，理解連除兩數與除以此兩數之積的結果相同。,數學108,4,2,50.0
能力指標,能在具體情境中，解決「先加後除」的兩步驟問題。,數學108,4,0,100.0
能力指標,能在具體情境中，解決「先減後除」的兩步驟問題。,數學108,4,2,50.0
能力指標,能在具體情境中，解決「先除後加」的兩步驟問題。,數學108,6,0,100.0
能力指標,能在具體情境中，解決「先除後減」的兩步驟問題。,數學108,2,0,100.0
能力指標,能在具體情境中，解決一位數的加減混合的問題。,數學108,6,1,83.3
能力指標,能在具體情境中，解決兩步驟問題（連乘，不含併式）。,數學108,2,0,100.0
能力指標,能在具體情境中，認識交換律，並可解決生活中的問題。,數學108,30,3,90.0
能力指標,能在具體情境中，認識加法順序改變並不影響其和的性質。,數學108,14,3,78.6
能力指標,能在分母為簡單整數的情況下，把分數轉換成小數。,數學108,4,2,50.0
能力指標,能在平分的具體情境中應用分數之「整數相除」的概念。,數學108,12,4,66.7
能力指標,能在數線上做整數、分數、小數的比較。,數學108,3,0,100.0
能力指標,能在數線上報讀與標記簡單分數。,數學108,22,11,50.0
能力指標,能在數線上標記一位小數。,數學108,2,0,100.0
能力指標,能在數線上進行大小比較。,數學108,8,2,75.0
能力指標,能在測量的具體情境中用分數表示「整數相除」的結果。,數學108,4,1,75.0
能力指標,能在連續量和離散量中認識真分數、假分數或帶分數。,數學108,58,12,79.3
能力指標,能報讀生活中常用的普通直長條圖以及橫長條圖。,數學108,6,1,83.3
能力指標,能報讀生活中常用的變形長條圖<堆疊、雙長條圖>。,數學108,16,4,75.0
能力指標,能報讀生活中常見的一維表格。,數學108,4,0,100.0
能力指標,能報讀生活中常見的二維表格。,數學108,8,4,50.0
能力指標,能報讀鐘面呈現的時刻。,數學108,4,0,100.0
能力指標,能夠利用有序資料來製作一般的折線圖。,數學108,66,33,50.0
能力指標,能夠利用有序資料來製作變形的折線圖。,數學108,64,28,56.2
能力指標,能夠報讀出有序資料所繪製成的統計圖。,數學108,56,21,62.5
能力指標,能寫出100到1000的數詞序列。,數學108,44,19,56.8
能力指標,能將一個三位數分解成幾個百、幾個十和幾個一。,數學108,18,7,61.1
能力指標,能將二步驟的四則混合計算問題用算式紀錄並求解。,數學108,8,3,62.5
能力指標,能對分數的整數倍進行計算。,數學108,54,23,57.4
能力指標,能對同分母分數做混合計算。,數學108,62,30,51.6
能力指標,能對同分母分數的大小進行比較。,數學108,54,8,85.2
能力指標,能從問題<拿走型>情境中，認識10以內減法的算式記錄和結果，並了解各數字及符號代表的意義。,數學108,4,2,50.0
能力指標,能從連加的活動中，理解乘法的意義。,數學108,46,18,60.9
能力指標,能應用「1平方公尺＝10000平方公分」進行解題。,數學108,6,4,33.3
能力指標,能應用三角形三內角和為180度，來解決相關問題。,數學108,8,2,75.0
能力指標,能應用在全等的操作下平面圖形的性質不變進行解題。,數學108,12,4,66.7
能力指標,能應用折線圖裡面所呈現的數據進行解題。,數學108,8,0,100.0
能力指標,能應用長條圖裡面所呈現的數據進行解題。,數學108,14,4,71.4
能力指標,能找出全等圖形的「對應頂點」、「對應角」與「對應邊」。,數學108,32,12,62.5
能力指標,能找出最簡單的整數比並解決生活中的問題。,數學108,4,0,100.0
能力指標,能把小數轉換成分母為簡單整數的分數。,數學108,4,1,75.0
能力指標,能掌握時針所在位置代表的正確數值。,數學108,4,2,50.0
能力指標,能描述正方體與長方體中線與面的垂直關係。,數學108,34,17,50.0
能力指標,能描述正方體與長方體中面與面的垂直關係。,數學108,38,16,57.9
能力指標,能描述正方體與長方體中面與面的平行關係。,數學108,58,13,77.6
能力指標,能描述物件的長。,數學108,6,1,83.3
能力指標,能正確使用量角器。,數學108,4,0,100.0
能力指標,能正確讀出角度的度數。,數學108,2,0,100.0
能力指標,能比較同分母分數的大小。,數學108,54,17,68.5
能力指標,能熟練30以內基本加法。,數學108,2,0,100.0
